,Unnamed: 0,title,view,like,unlike,date,token
1109,1109,크러쉬 - 우아해 Woo Ah 세로라이브 CRUSH - Woo Ah,1836037.0,20000.0,154.0,2016. 5. 12.,"['세로', '라이브', '아해']"
1110,1110,자장가라이브 갓세븐 JB - 너 사용법 에디킴 cover,289668.0,10000.0,56.0,2016. 5. 11.,"['라이브', '자장가', '사용법']"
1111,1111,세로라이브 곽진언 - 나랑 갈래,142271.0,1000.0,10.0,2016. 5. 10.,"['세로', '라이브', '진언', '갈래']"
1112,1112,노래방라이브 선율 업텐션 - 야생화 박효신 Cover,104768.0,2000.0,41.0,2016. 5. 5.,"['선율', '라이브', '노래방', '텐션', '야생화']"
1113,1113,아이라이브 업텐션 - 나한테만 집중해,28867.0,1000.0,10.0,2016. 5. 4.,"['라이브', '집중', '나한', '텐션', '아이']"
1114,1114,세로라이브 황치열 - 너 없이 못살아,163870.0,2000.0,42.0,2016. 5. 3.,"['세로', '라이브', '치열']"
1115,1115,여보세요라이브 Babylon편,13472.0,150.0,2.0,2016. 4. 29.,"['보세', '라이브']"
1116,1116,노래방라이브 조현아어반자카파 - I Feel You 원더걸스 Cover,233759.0,1000.0,17.0,2016. 4. 29.,"['반자', '조현', '카파', '아어', '라이브', '노래방']"
1117,1117,세로라이브 에이프릴 - 팅커벨,730293.0,6000.0,492.0,2016. 4. 28.,"['세로', '라이브', '프릴', '에이']"
1118,1118,세로라이브 홍대광 - 홍대에 가면,79752.0,681.0,8.0,2016. 4. 27.,"['세로', '라이브', '가면']"
1119,1119,이슬라이브 곽진언 & 존박 - 취중진담 전람회 Cover,1621683.0,10000.0,99.0,2016. 4. 26.,"['진언', '전람회', '이슬', '라이브', '진담', '취중']"
1120,1120,세로라이브 빅스VIXX - 다이너마이트,960475.0,20000.0,102.0,2016. 4. 25.,"['세로', '라이브', '마이트', '다이']"
1121,1121,세로라이브 이하이 - My Star,1767777.0,30000.0,252.0,2016. 4. 22.,"['세로', '라이브', '하이']"
1122,1122,노래방라이브 손승연 - Boys And Girls 지코 Cover,795538.0,6000.0,136.0,2016. 4. 22.,"['라이브', '노래방']"
1123,1123,세로라이브 박보람 - Dynamic Love,111593.0,765.0,65.0,2016. 4. 21.,"['세로', '라이브', '보람']"
