,token,view,count,view_count
895,정모,91611.0,1,91611.0
896,정색,87862.0,1,87862.0
897,정성,114063.0,1,114063.0
898,정세운,1613987.0,7,230569.57142857142
899,정승,7126928.0,8,890866.0
900,정아,1485785.0,5,297157.0
901,정열,3922971.0,12,326914.25
902,정용,826122.0,5,165224.4
903,정원,2673764.0,1,2673764.0
904,정은,378508.0,2,189254.0
905,정이,13471.0,1,13471.0
906,정인,295773.0,3,98591.0
907,정재,23680.0,1,23680.0
908,정진,70445.0,1,70445.0
909,정체,78988.0,2,39494.0
910,정한,44412.0,1,44412.0
911,정현,914381.0,2,457190.5
912,정화,289962.0,2,144981.0
913,제목,117830.0,1,117830.0
914,제시,1142780.0,3,380926.6666666667
915,제야,28334.0,1,28334.0
916,제이,77550.0,1,77550.0
917,제작소,2079454.0,6,346575.6666666667
918,조각,3529.0,1,3529.0
919,조세,529684.0,6,88280.66666666667
920,조원,40009.0,1,40009.0
921,조정,551327.0,1,551327.0
922,조합,15675.0,1,15675.0
923,조현,659973.0,4,164993.25
924,좀비,862025.0,2,431012.5
925,종신,41867434.0,6,6977905.666666667
926,종이,925541.0,1,925541.0
927,주니,378277.0,2,189138.5
928,주니어,474166.0,2,237083.0
929,주라,35147.0,2,17573.5
930,주먹,277997.0,2,138998.5
931,주먹다짐,35286.0,1,35286.0
932,주영,71463.0,1,71463.0
933,주우,83762.0,1,83762.0
934,주의,2887741.0,7,412534.4285714286
935,주접,118468.0,2,59234.0
936,주찬,409688.0,2,204844.0
937,주하,104459.0,1,104459.0
938,주행,11259815.0,2,5629907.5
939,죽기,1230449.0,1,1230449.0
940,준수,415592.0,2,207796.0
941,준일,13370407.0,5,2674081.4
942,준형,377030.0,1,377030.0
943,준호,132919.0,1,132919.0
944,중독성,2339006.0,2,1169503.0
945,중인,1402246.0,1,1402246.0
946,즉석,13471.0,1,13471.0
947,지가,15353.0,1,15353.0
948,지구,94693.0,1,94693.0
949,지금,144512.0,1,144512.0
950,지네,616878.0,1,616878.0
951,지대,139215.0,3,46405.0
952,지소,110210.0,1,110210.0
953,지숙,74795.0,1,74795.0
954,지영,3494663.0,2,1747331.5
955,지옥,382996.0,2,191498.0
956,지조,43078.0,1,43078.0
957,지지,701764.0,2,350882.0
958,지진,76902.0,1,76902.0
959,지혜,32798.0,1,32798.0
960,직업,40117.0,1,40117.0
961,직전,158959.0,2,79479.5
962,진담,1621683.0,1,1621683.0
963,진심,308894.0,2,154447.0
964,진언,2960862.0,6,493477.0
965,진영,1790763.0,5,358152.6
966,진짜,1527170.0,1,1527170.0
967,진창,1577384.0,4,394346.0
968,질주,4676123.0,2,2338061.5
969,질투,93186.0,1,93186.0
970,집중,28867.0,1,28867.0
971,집해,551327.0,1,551327.0
972,짝사랑,17731.0,1,17731.0
973,차림,20074.0,1,20074.0
974,차일드,1153349.0,3,384449.6666666667
975,차트,3270091.0,4,817522.75
976,찬양,44421.0,1,44421.0
977,창정,7184022.0,5,1436804.4
978,채팅,5503382.0,11,500307.45454545453
979,챌린지,226217.0,5,45243.4
980,처음,797662.0,3,265887.3333333333
981,천상계,170641.0,1,170641.0
982,천재,320087.0,2,160043.5
983,첫눈,881081.0,1,881081.0
984,청량,51879.0,2,25939.5
985,청순,150704.0,1,150704.0
986,청춘,6493.0,1,6493.0
987,청하,11366169.0,12,947180.75
988,체인,273677.0,1,273677.0
989,초대,427182.0,1,427182.0
990,촛불,196939.0,1,196939.0
991,촬영,5868591.0,7,838370.1428571428
992,촬영장,463746.0,4,115936.5
993,최고,176172.0,1,176172.0
994,최대,57722.0,1,57722.0
995,최대치,23680.0,1,23680.0
996,최초,10808742.0,8,1351092.75
997,추모,1866276.0,4,466569.0
998,추억,94802.0,1,94802.0
999,추천,187017.0,1,187017.0
1000,축가,6934143.0,11,630376.6363636364
1001,축하,514619.0,1,514619.0
1002,춘곤,47161.0,1,47161.0
1003,출연,1303248.0,1,1303248.0
1004,충격적,63653.0,1,63653.0
1005,충만,19212.0,1,19212.0
1006,취기,3515.0,1,3515.0
1007,취미,18282.0,1,18282.0
1008,취중,1621683.0,1,1621683.0
1009,치마,1958259.0,2,979129.5
1010,치명적,38344.0,1,38344.0
1011,치사량,2238659.0,1,2238659.0
1012,치열,258167.0,2,129083.5
1013,치즈,1321835.0,7,188833.57142857142
1014,치타,242549.0,2,121274.5
1015,친구,24506798.0,18,1361488.7777777778
1016,카드,788343.0,2,394171.5
1017,카메라,836601.0,4,209150.25
1018,카파,7767896.0,20,388394.8
1019,카펠라,242221.0,1,242221.0
1020,캐럴,23028.0,1,23028.0
1021,커버,37308.0,1,37308.0
1022,커플,10876.0,1,10876.0
1023,컬러링,996700.0,2,498350.0
1024,컴백,110288.0,1,110288.0
1025,컴플렉스,250390.0,2,125195.0
1026,케이,3878572.0,12,323214.3333333333
1027,케이티,146884.0,1,146884.0
1028,켄트,96608.0,1,96608.0
1029,켜짐,2238659.0,1,2238659.0
1030,코드,3511293.0,9,390143.6666666667
1031,코스,131813.0,1,131813.0
1032,코스터,1572496.0,1,1572496.0
1033,콘서트,1515170.0,3,505056.6666666667
1034,콜라,28637.0,1,28637.0
1035,쿤스트,1276966.0,2,638483.0
1036,큐브,4252785.0,6,708797.5
1037,크리스마스,148910.0,4,37227.5
1038,크림,1233910.0,1,1233910.0
1039,클라,486076.0,1,486076.0
1040,클라우드,36868.0,1,36868.0
1041,클래,716035.0,1,716035.0
1042,클렌징,1233910.0,1,1233910.0
1043,클린,11256.0,1,11256.0
