,Unnamed: 0,title,view,like,unlike,date,token
483,483,블랙인더트랩 남주혁의 올블랙 스타일링,438143.0,2000.0,37.0,2016. 3. 30.,"['블랙', '트랩', '스타일링']"
484,484,구라래쇼 3화 - AV배우와 그라비아 모델의 차이점,144412.0,313.0,11.0,2016. 3. 28.,"['모델', '배우', '차이점', '비아', '구라']"
485,485,남자의 인생템 3화 - 이상민 드디어 롤스로이스 계약서에 사인하다 l ROLLS ROYCE Review,1360986.0,1000.0,296.0,2016. 3. 23.,"['인생', '로이스', '계약서', '사인', '이상', '남자']"
486,486,구라래쇼 2화 - 욕으로 들리는 일본어,113833.0,841.0,22.0,2016. 3. 21.,"['일본어', '구라']"
487,487,남자의 인생템 예고1 - 롤스로이스 안 사고 롤스로이스 있는 척 하는 꿀팁 대공개,5741.0,12.0,0.0,2016. 3. 16.,"['인생', '사고', '로이스', '공개', '예고', '남자']"
488,488,남자의 인생템 예고2 - 롤스로이스 30대를 구매한 재벌은 누구,3773.0,5.0,1.0,2016. 3. 16.,"['인생', '구매', '로이스', '재벌', '예고', '남자']"
489,489,남자의 인생템 2화 - 롤스로이스 안에 숨겨진 1mmROLLS ROYCE Ghost,534324.0,893.0,75.0,2016. 3. 16.,"['인생', '로이스', '남자']"
490,490,구라래쇼 1-2화 알아두면 넘나 좋은 실전 일본어,256304.0,2000.0,115.0,2016. 3. 15.,"['일본어', '구라', '실전']"
491,491,구라래쇼 일본에서 형제는 브라자다 - 1-2화 short ver,5939.0,17.0,0.0,2016. 3. 15.,"['일본', '형제', '구라', '브라자']"
492,492,구라래쇼 일본에서 조심히 말해야 할 단어 - 1-2화 short ver,11380.0,32.0,1.0,2016. 3. 15.,"['일본', '조심', '구라', '단어']"
493,493,구라래쇼 걸그룹 일본어로 말하기 - 1-2화 short ver,8860.0,29.0,0.0,2016. 3. 15.,"['일본어', '그룹', '구라', '말하기']"
494,494,구라래쇼 1-1화 - 29금 박나래를 당황시킨 오늘 배울 일본어는,148150.0,758.0,24.0,2016. 3. 15.,"['나래', '일본어', '오늘', '당황', '구라']"
495,495,구라래쇼 자지가 뭐에요 몰카 - 1-1화 short ver,140784.0,598.0,61.0,2016. 3. 14.,"['자지', '구라']"
