,token,like,count,like_count
457,수능,20000.0,2,10000.0
459,수상작,57.0,1,57.0
460,수진,10000.0,1,10000.0
461,수트,206.0,1,206.0
462,수편,193.0,1,193.0
463,숙명,550.0,1,550.0
464,숙소,45.0,1,45.0
465,숙취,283.0,1,283.0
466,순간,27143.0,6,4523.833333333333
467,순삭,354.0,1,354.0
468,술안주,136.0,1,136.0
469,술자리,12314.0,16,769.625
470,스케이트,10000.0,1,10000.0
472,스키,34.0,1,34.0
473,스킨,312.0,1,312.0
474,스킨십,79.0,1,79.0
475,스타,7971.0,4,1992.75
476,스타일,31193.0,15,2079.5333333333333
477,스타일링,2981.0,3,993.6666666666666
478,스테이지,5.0,1,5.0
479,스테이크,1153.0,2,576.5
481,스토어,143.0,1,143.0
482,스톱,145.0,1,145.0
483,스튜디오,1066.0,4,266.5
484,스트레스,10000.0,1,10000.0
485,스티치,10000.0,1,10000.0
486,스파,171.0,1,171.0
487,스파게티,1000.0,1,1000.0
488,스파이크,1000.0,1,1000.0
489,스페셜,20000.0,2,10000.0
491,습격,6000.0,1,6000.0
492,승기,116.0,1,116.0
493,승원,174.0,1,174.0
494,승은,55.0,1,55.0
495,승희,9000.0,1,9000.0
496,시간,354.0,1,354.0
497,시계,2289.0,2,1144.5
498,시대,598.0,2,299.0
499,시리즈,392.0,3,130.66666666666666
500,시어머니,9000.0,1,9000.0
501,시작,18133.0,7,2590.4285714285716
502,시장,63.0,1,63.0
503,시절,1000.0,1,1000.0
504,시즌,102.0,1,102.0
505,시청,698.0,1,698.0
506,시크,694.0,1,694.0
507,시트,1000.0,1,1000.0
508,시한,8000.0,1,8000.0
510,식이,13000.0,2,6500.0
511,식장,10000.0,2,5000.0
512,신발,1357.0,2,678.5
513,신용,16.0,1,16.0
514,신인,8112.0,2,4056.0
515,신조어,193.0,1,193.0
516,신청,47000.0,2,23500.0
517,신혼,356.0,1,356.0
518,실전,2000.0,1,2000.0
519,실제,23007.0,4,5751.75
520,심리,533.0,1,533.0
521,심상,4000.0,1,4000.0
